stsenaarium_sundimus,stsenaarium_ranne,stsenaarium,aasta,prognoositud_synnid,prognoositud_surmad,loomulik_iive,randesaldo,tfr,rahvaarv_kokku,naised_15_49,vanus_1,vanus_2,vanus_3,vanus_4,vanus_5,vanus_6,lasteaiaealised_1_6,vajalikud_kohad_kokku,olemasolevad_kohad_kokku,puudu_voi_ule_kokku,uusi_kohti_vaja_kokku,vajalikud_kohad_1_5_3_ligikaudne,olemasolevad_kohad_1_5_3,puudu_voi_ule_1_5_3,uusi_kohti_vaja_1_5_3
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2026,33.61,188.51,-154.9,0.0,1.175,5682.1,1168.43,40.96,52.07,38.08,61.75,58.94,74.52,326.32,272.78,204,68.78,69,47.24,84,-36.76,0
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2027,32.58,184.39,-151.81,0.0,1.194,5530.29,1139.4,33.58,40.24,50.84,37.93,61.69,58.56,282.85,238.63,204,34.63,35,36.89,84,-47.11,0
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2028,31.4,179.81,-148.4,0.0,1.2129,5381.89,1100.26,32.55,32.99,39.29,50.64,37.89,61.29,254.66,213.91,204,9.91,10,31.25,84,-52.75,0
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2029,30.46,175.99,-145.53,0.0,1.2319,5236.36,1075.44,31.37,31.98,32.21,39.14,50.59,37.65,222.94,184.41,204,-19.59,0,30.26,84,-53.74,0
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2030,29.96,174.57,-144.61,0.0,1.2508,5091.75,1044.91,30.43,30.82,31.22,32.09,39.1,50.26,213.92,176.66,204,-27.34,0,29.2,84,-54.8,0
stat_amet,randega,stat_amet_randega,2026,33.94,188.51,-154.57,63.33,1.175,5745.77,1178.9,41.59,52.7,38.72,62.39,59.57,75.15,330.12,275.82,204,71.82,72,47.84,84,-36.16,0
stat_amet,randega,stat_amet_randega,2027,33.24,189.31,-156.06,63.33,1.194,5653.04,1160.1,35.17,41.49,52.09,39.2,62.96,59.82,290.74,244.76,204,40.76,41,38.15,84,-45.85,0
stat_amet,randega,stat_amet_randega,2028,32.39,188.51,-156.11,63.33,1.2129,5560.26,1130.94,34.48,35.19,41.15,52.52,39.79,63.19,266.31,223.21,204,19.21,20,33.29,84,-50.71,0
stat_amet,randega,stat_amet_randega,2029,31.78,187.63,-155.85,63.33,1.2319,5467.74,1115.84,33.63,34.5,34.99,41.62,53.1,40.17,238.01,196.69,204,-7.31,0,32.6,84,-51.4,0
stat_amet,randega,stat_amet_randega,2030,31.61,188.75,-157.13,63.33,1.2508,5373.94,1094.79,33.02,33.67,34.32,35.49,42.21,53.39,232.1,191.62,204,-12.38,0,31.85,84,-52.15,0
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2026,33.61,188.51,-154.9,0.0,1.175,5682.1,1168.43,40.96,52.07,38.08,61.75,58.94,74.52,326.32,272.78,204,68.78,69,47.24,84,-36.76,0
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2027,32.07,184.39,-152.33,0.0,1.175,5529.78,1139.4,33.58,40.24,50.84,37.93,61.69,58.56,282.85,238.63,204,34.63,35,36.89,84,-47.11,0
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2028,30.42,179.81,-149.38,0.0,1.175,5380.39,1100.26,32.03,32.99,39.29,50.64,37.89,61.29,254.14,213.81,204,9.81,10,31.15,84,-52.85,0
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2029,29.05,175.98,-146.93,0.0,1.175,5233.46,1075.44,30.39,31.47,32.21,39.14,50.59,37.65,221.45,183.84,204,-20.16,0,29.68,84,-54.32,0
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2030,28.14,174.54,-146.39,0.0,1.175,5087.07,1044.91,29.02,29.85,30.73,32.09,39.1,50.26,211.05,175.19,204,-28.81,0,28.2,84,-55.8,0
praegune_tase,randega,praegune_tase_randega,2026,33.94,188.51,-154.57,63.33,1.175,5745.77,1178.9,41.59,52.7,38.72,62.39,59.57,75.15,330.12,275.82,204,71.82,72,47.84,84,-36.16,0
praegune_tase,randega,praegune_tase_randega,2027,32.71,189.31,-156.59,63.33,1.175,5652.51,1160.1,35.17,41.49,52.09,39.2,62.96,59.82,290.74,244.76,204,40.76,41,38.15,84,-45.85,0
praegune_tase,randega,praegune_tase_randega,2028,31.38,188.5,-157.12,63.33,1.175,5558.72,1130.94,33.95,35.19,41.15,52.52,39.79,63.19,265.78,223.11,204,19.11,20,33.18,84,-50.82,0
praegune_tase,randega,praegune_tase_randega,2029,30.32,187.62,-157.3,63.33,1.175,5464.75,1115.84,32.62,33.98,34.99,41.62,53.1,40.17,236.48,196.1,204,-7.9,0,32.01,84,-51.99,0
praegune_tase,randega,praegune_tase_randega,2030,29.7,188.71,-159.02,63.33,1.175,5369.06,1094.79,31.55,32.67,33.82,35.49,42.21,53.39,229.14,190.1,204,-13.9,0,30.82,84,-53.18,0
langev,ilma_randeta,langev_ilma_randeta,2026,33.61,188.51,-154.9,0.0,1.175,5682.1,1168.43,40.96,52.07,38.08,61.75,58.94,74.52,326.32,272.78,204,68.78,69,47.24,84,-36.76,0
langev,ilma_randeta,langev_ilma_randeta,2027,31.61,184.39,-152.78,0.0,1.1583,5529.32,1139.4,33.58,40.24,50.84,37.93,61.69,58.56,282.85,238.63,204,34.63,35,36.89,84,-47.11,0
langev,ilma_randeta,langev_ilma_randeta,2028,29.56,179.81,-150.25,0.0,1.1417,5379.07,1100.26,31.58,32.99,39.29,50.64,37.89,61.29,253.69,213.72,204,9.72,10,31.06,84,-52.94,0
langev,ilma_randeta,langev_ilma_randeta,2029,27.82,175.97,-148.16,0.0,1.125,5230.92,1075.44,29.53,31.02,32.21,39.14,50.59,37.65,220.14,183.33,204,-20.67,0,29.17,84,-54.83,0
langev,ilma_randeta,langev_ilma_randeta,2030,26.54,174.51,-147.96,0.0,1.1083,5082.95,1044.91,27.79,29.01,30.29,32.09,39.1,50.26,208.53,173.89,204,-30.11,0,27.31,84,-56.69,0
langev,randega,langev_randega,2026,33.94,188.51,-154.57,63.33,1.175,5745.77,1178.9,41.59,52.7,38.72,62.39,59.57,75.15,330.12,275.82,204,71.82,72,47.84,84,-36.16,0
langev,randega,langev_randega,2027,32.25,189.31,-157.06,63.33,1.1583,5652.04,1160.1,35.17,41.49,52.09,39.2,62.96,59.82,290.74,244.76,204,40.76,41,38.15,84,-45.85,0
langev,randega,langev_randega,2028,30.49,188.5,-158.01,63.33,1.1417,5557.36,1130.94,33.48,35.19,41.15,52.52,39.79,63.19,265.32,223.01,204,19.01,20,33.09,84,-50.91,0
langev,randega,langev_randega,2029,29.03,187.61,-158.58,63.33,1.125,5462.11,1115.84,31.73,33.53,34.99,41.62,53.1,40.17,235.14,195.58,204,-8.42,0,31.49,84,-52.51,0
langev,randega,langev_randega,2030,28.01,188.69,-160.68,63.33,1.1083,5364.77,1094.79,30.26,31.8,33.37,35.49,42.21,53.39,226.53,188.77,204,-15.23,0,29.9,84,-54.1,0
