stsenaarium_sundimus,stsenaarium_ranne,stsenaarium,aasta,rahvaarv_eelmine_aasta,rahvaarv_kokku,naised_15_49,prognoositud_synnid,prognoositud_surmad,loomulik_iive,randesaldo,tfr
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2026,5837.0,5682.1,1168.43,33.61,188.51,-154.9,0.0,1.175
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2027,5682.1,5530.29,1139.4,32.58,184.39,-151.81,0.0,1.194
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2028,5530.29,5381.89,1100.26,31.4,179.81,-148.4,0.0,1.2129
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2029,5381.89,5236.36,1075.44,30.46,175.99,-145.53,0.0,1.2319
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2030,5236.36,5091.75,1044.91,29.96,174.57,-144.61,0.0,1.2508
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2031,5091.75,4953.85,1014.26,29.18,167.08,-137.9,0.0,1.2698
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2032,4953.85,4810.6,977.29,28.4,171.65,-143.25,0.0,1.2888
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2033,4810.6,4676.99,947.66,28.25,161.86,-133.61,0.0,1.3077
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2034,4676.99,4543.26,915.2,27.37,161.1,-133.72,0.0,1.3267
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2035,4543.26,4411.97,885.36,27.07,158.36,-131.29,0.0,1.3456
stat_amet,randega,stat_amet_randega,2026,5837.0,5745.77,1178.9,33.94,188.51,-154.57,63.33,1.175
stat_amet,randega,stat_amet_randega,2027,5745.77,5653.04,1160.1,33.24,189.31,-156.06,63.33,1.194
stat_amet,randega,stat_amet_randega,2028,5653.04,5560.26,1130.94,32.39,188.51,-156.11,63.33,1.2129
stat_amet,randega,stat_amet_randega,2029,5560.26,5467.74,1115.84,31.78,187.63,-155.85,63.33,1.2319
stat_amet,randega,stat_amet_randega,2030,5467.74,5373.94,1094.79,31.61,188.75,-157.13,63.33,1.2508
stat_amet,randega,stat_amet_randega,2031,5373.94,5284.86,1073.39,31.16,183.58,-152.41,63.33,1.2698
stat_amet,randega,stat_amet_randega,2032,5284.86,5188.66,1045.43,30.71,190.25,-159.54,63.33,1.2888
stat_amet,randega,stat_amet_randega,2033,5188.66,5100.43,1024.58,30.89,182.45,-151.57,63.33,1.3077
stat_amet,randega,stat_amet_randega,2034,5100.43,5010.56,1000.68,30.34,183.54,-153.2,63.33,1.3267
stat_amet,randega,stat_amet_randega,2035,5010.56,4921.69,979.19,30.36,182.57,-152.21,63.33,1.3456
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2026,5837.0,5682.1,1168.43,33.61,188.51,-154.9,0.0,1.175
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2027,5682.1,5529.78,1139.4,32.07,184.39,-152.33,0.0,1.175
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2028,5529.78,5380.39,1100.26,30.42,179.81,-149.38,0.0,1.175
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2029,5380.39,5233.46,1075.44,29.05,175.98,-146.93,0.0,1.175
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2030,5233.46,5087.07,1044.91,28.14,174.54,-146.39,0.0,1.175
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2031,5087.07,4947.04,1014.26,27.0,167.03,-140.03,0.0,1.175
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2032,4947.04,4801.36,977.29,25.89,171.57,-145.68,0.0,1.175
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2033,4801.36,4664.97,947.66,25.38,161.77,-136.39,0.0,1.175
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2034,4664.97,4528.23,915.2,24.24,160.98,-136.74,0.0,1.175
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2035,4528.23,4393.64,885.36,23.64,158.23,-134.59,0.0,1.175
praegune_tase,randega,praegune_tase_randega,2026,5837.0,5745.77,1178.9,33.94,188.51,-154.57,63.33,1.175
praegune_tase,randega,praegune_tase_randega,2027,5745.77,5652.51,1160.1,32.71,189.31,-156.59,63.33,1.175
praegune_tase,randega,praegune_tase_randega,2028,5652.51,5558.72,1130.94,31.38,188.5,-157.12,63.33,1.175
praegune_tase,randega,praegune_tase_randega,2029,5558.72,5464.75,1115.84,30.32,187.62,-157.3,63.33,1.175
praegune_tase,randega,praegune_tase_randega,2030,5464.75,5369.06,1094.79,29.7,188.71,-159.02,63.33,1.175
praegune_tase,randega,praegune_tase_randega,2031,5369.06,5277.71,1073.39,28.84,183.53,-154.69,63.33,1.175
praegune_tase,randega,praegune_tase_randega,2032,5277.71,5178.86,1045.43,28.0,190.17,-162.18,63.33,1.175
praegune_tase,randega,praegune_tase_randega,2033,5178.86,5087.6,1024.58,27.75,182.36,-154.6,63.33,1.175
praegune_tase,randega,praegune_tase_randega,2034,5087.6,4994.38,1000.68,26.87,183.42,-156.55,63.33,1.175
praegune_tase,randega,praegune_tase_randega,2035,4994.38,4901.81,979.19,26.51,182.42,-155.91,63.33,1.175
langev,ilma_randeta,langev_ilma_randeta,2026,5837.0,5682.1,1168.43,33.61,188.51,-154.9,0.0,1.175
langev,ilma_randeta,langev_ilma_randeta,2027,5682.1,5529.32,1139.4,31.61,184.39,-152.78,0.0,1.1583
langev,ilma_randeta,langev_ilma_randeta,2028,5529.32,5379.07,1100.26,29.56,179.81,-150.25,0.0,1.1417
langev,ilma_randeta,langev_ilma_randeta,2029,5379.07,5230.92,1075.44,27.82,175.97,-148.16,0.0,1.125
langev,ilma_randeta,langev_ilma_randeta,2030,5230.92,5082.95,1044.91,26.54,174.51,-147.96,0.0,1.1083
langev,ilma_randeta,langev_ilma_randeta,2031,5082.95,4941.06,1014.26,25.09,166.98,-141.9,0.0,1.0917
langev,ilma_randeta,langev_ilma_randeta,2032,4941.06,4793.23,977.29,23.69,171.51,-147.83,0.0,1.075
langev,ilma_randeta,langev_ilma_randeta,2033,4793.23,4654.4,947.66,22.86,161.69,-138.83,0.0,1.0583
langev,ilma_randeta,langev_ilma_randeta,2034,4654.4,4515.01,915.2,21.49,160.88,-139.39,0.0,1.0417
langev,ilma_randeta,langev_ilma_randeta,2035,4515.01,4377.53,885.36,20.62,158.11,-137.49,0.0,1.025
langev,randega,langev_randega,2026,5837.0,5745.77,1178.9,33.94,188.51,-154.57,63.33,1.175
langev,randega,langev_randega,2027,5745.77,5652.04,1160.1,32.25,189.31,-157.06,63.33,1.1583
langev,randega,langev_randega,2028,5652.04,5557.36,1130.94,30.49,188.5,-158.01,63.33,1.1417
langev,randega,langev_randega,2029,5557.36,5462.11,1115.84,29.03,187.61,-158.58,63.33,1.125
langev,randega,langev_randega,2030,5462.11,5364.77,1094.79,28.01,188.69,-160.68,63.33,1.1083
langev,randega,langev_randega,2031,5364.77,5271.42,1073.39,26.79,183.48,-156.69,63.33,1.0917
langev,randega,langev_randega,2032,5271.42,5170.26,1045.43,25.62,190.11,-164.49,63.33,1.075
langev,randega,langev_randega,2033,5170.26,5076.32,1024.58,25.0,182.27,-157.27,63.33,1.0583
langev,randega,langev_randega,2034,5076.32,4980.16,1000.68,23.82,183.31,-159.49,63.33,1.0417
langev,randega,langev_randega,2035,4980.16,4884.33,979.19,23.13,182.29,-159.16,63.33,1.025
