stsenaarium_sundimus,stsenaarium_ranne,stsenaarium,aasta,eesti_tfr_eeldus,rakvere_kohalik_korrigeerimistegur,prognoositud_synnid,prognoositud_surmad,loomulik_iive,randesaldo,naised_15_49
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2026,1.175,0.938,33.61,188.51,-154.9,0.0,1168.43
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2027,1.194,0.938,32.58,184.39,-151.81,0.0,1139.4
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2028,1.2129,0.938,31.4,179.81,-148.4,0.0,1100.26
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2029,1.2319,0.938,30.46,175.99,-145.53,0.0,1075.44
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2030,1.2508,0.938,29.96,174.57,-144.61,0.0,1044.91
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2031,1.2698,0.938,29.18,167.08,-137.9,0.0,1014.26
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2032,1.2888,0.938,28.4,171.65,-143.25,0.0,977.29
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2033,1.3077,0.938,28.25,161.86,-133.61,0.0,947.66
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2034,1.3267,0.938,27.37,161.1,-133.72,0.0,915.2
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2035,1.3456,0.938,27.07,158.36,-131.29,0.0,885.36
stat_amet,randega,stat_amet_randega,2026,1.175,0.938,33.94,188.51,-154.57,63.33,1178.9
stat_amet,randega,stat_amet_randega,2027,1.194,0.938,33.24,189.31,-156.06,63.33,1160.1
stat_amet,randega,stat_amet_randega,2028,1.2129,0.938,32.39,188.51,-156.11,63.33,1130.94
stat_amet,randega,stat_amet_randega,2029,1.2319,0.938,31.78,187.63,-155.85,63.33,1115.84
stat_amet,randega,stat_amet_randega,2030,1.2508,0.938,31.61,188.75,-157.13,63.33,1094.79
stat_amet,randega,stat_amet_randega,2031,1.2698,0.938,31.16,183.58,-152.41,63.33,1073.39
stat_amet,randega,stat_amet_randega,2032,1.2888,0.938,30.71,190.25,-159.54,63.33,1045.43
stat_amet,randega,stat_amet_randega,2033,1.3077,0.938,30.89,182.45,-151.57,63.33,1024.58
stat_amet,randega,stat_amet_randega,2034,1.3267,0.938,30.34,183.54,-153.2,63.33,1000.68
stat_amet,randega,stat_amet_randega,2035,1.3456,0.938,30.36,182.57,-152.21,63.33,979.19
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2026,1.175,0.938,33.61,188.51,-154.9,0.0,1168.43
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2027,1.175,0.938,32.07,184.39,-152.33,0.0,1139.4
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2028,1.175,0.938,30.42,179.81,-149.38,0.0,1100.26
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2029,1.175,0.938,29.05,175.98,-146.93,0.0,1075.44
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2030,1.175,0.938,28.14,174.54,-146.39,0.0,1044.91
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2031,1.175,0.938,27.0,167.03,-140.03,0.0,1014.26
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2032,1.175,0.938,25.89,171.57,-145.68,0.0,977.29
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2033,1.175,0.938,25.38,161.77,-136.39,0.0,947.66
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2034,1.175,0.938,24.24,160.98,-136.74,0.0,915.2
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2035,1.175,0.938,23.64,158.23,-134.59,0.0,885.36
praegune_tase,randega,praegune_tase_randega,2026,1.175,0.938,33.94,188.51,-154.57,63.33,1178.9
praegune_tase,randega,praegune_tase_randega,2027,1.175,0.938,32.71,189.31,-156.59,63.33,1160.1
praegune_tase,randega,praegune_tase_randega,2028,1.175,0.938,31.38,188.5,-157.12,63.33,1130.94
praegune_tase,randega,praegune_tase_randega,2029,1.175,0.938,30.32,187.62,-157.3,63.33,1115.84
praegune_tase,randega,praegune_tase_randega,2030,1.175,0.938,29.7,188.71,-159.02,63.33,1094.79
praegune_tase,randega,praegune_tase_randega,2031,1.175,0.938,28.84,183.53,-154.69,63.33,1073.39
praegune_tase,randega,praegune_tase_randega,2032,1.175,0.938,28.0,190.17,-162.18,63.33,1045.43
praegune_tase,randega,praegune_tase_randega,2033,1.175,0.938,27.75,182.36,-154.6,63.33,1024.58
praegune_tase,randega,praegune_tase_randega,2034,1.175,0.938,26.87,183.42,-156.55,63.33,1000.68
praegune_tase,randega,praegune_tase_randega,2035,1.175,0.938,26.51,182.42,-155.91,63.33,979.19
langev,ilma_randeta,langev_ilma_randeta,2026,1.175,0.938,33.61,188.51,-154.9,0.0,1168.43
langev,ilma_randeta,langev_ilma_randeta,2027,1.1583,0.938,31.61,184.39,-152.78,0.0,1139.4
langev,ilma_randeta,langev_ilma_randeta,2028,1.1417,0.938,29.56,179.81,-150.25,0.0,1100.26
langev,ilma_randeta,langev_ilma_randeta,2029,1.125,0.938,27.82,175.97,-148.16,0.0,1075.44
langev,ilma_randeta,langev_ilma_randeta,2030,1.1083,0.938,26.54,174.51,-147.96,0.0,1044.91
langev,ilma_randeta,langev_ilma_randeta,2031,1.0917,0.938,25.09,166.98,-141.9,0.0,1014.26
langev,ilma_randeta,langev_ilma_randeta,2032,1.075,0.938,23.69,171.51,-147.83,0.0,977.29
langev,ilma_randeta,langev_ilma_randeta,2033,1.0583,0.938,22.86,161.69,-138.83,0.0,947.66
langev,ilma_randeta,langev_ilma_randeta,2034,1.0417,0.938,21.49,160.88,-139.39,0.0,915.2
langev,ilma_randeta,langev_ilma_randeta,2035,1.025,0.938,20.62,158.11,-137.49,0.0,885.36
langev,randega,langev_randega,2026,1.175,0.938,33.94,188.51,-154.57,63.33,1178.9
langev,randega,langev_randega,2027,1.1583,0.938,32.25,189.31,-157.06,63.33,1160.1
langev,randega,langev_randega,2028,1.1417,0.938,30.49,188.5,-158.01,63.33,1130.94
langev,randega,langev_randega,2029,1.125,0.938,29.03,187.61,-158.58,63.33,1115.84
langev,randega,langev_randega,2030,1.1083,0.938,28.01,188.69,-160.68,63.33,1094.79
langev,randega,langev_randega,2031,1.0917,0.938,26.79,183.48,-156.69,63.33,1073.39
langev,randega,langev_randega,2032,1.075,0.938,25.62,190.11,-164.49,63.33,1045.43
langev,randega,langev_randega,2033,1.0583,0.938,25.0,182.27,-157.27,63.33,1024.58
langev,randega,langev_randega,2034,1.0417,0.938,23.82,183.31,-159.49,63.33,1000.68
langev,randega,langev_randega,2035,1.025,0.938,23.13,182.29,-159.16,63.33,979.19
